name,language,stargazers_count
AI-Agents,Python,0
AI-Development,Python,0
AI_CODE_GENERATOR,Python,0
AI_Text_summarizer,Python,0
ajay-s-portfolio-resume,HTML,0
AMAZONPRIMECLONEUSINGHTMLCSSBOOTSTRAP,HTML,0
BLOG_APP,CSS,0
ChessandSnakeresponsivewebdesign,CSS,0
ContactForm_PostgresNeonTech,HTML,0
DataScienceExternal,Python,0
DictionaryAPI,CSS,0
DieGame,HTML,0
FormValidation,JavaScript,0
FullStackLab,JavaScript,0
ImageAppGeneratorAPI,CSS,0
interactivemap,JavaScript,1
Joke-tellerAPI,JavaScript,0
LOGIN_EJS,EJS,0
ML_Learning,Python,0
QRCODEGenerator,,0
QRCODEGeneratorUsingNode.js,JavaScript,0
RandomQuoteGeneratorAPI,JavaScript,0
RealTimeChatApp,HTML,0
Secret_Access_using_Express,JavaScript,0
simplemessengerapiusingExpress,,0
staticportfolio,CSS,0
WanderLust,HTML,0
weatherapi,JavaScript,0
WEB-TECHNOLOGIES,Java,0
